track_id,title,year,artist_name,release,recording_mbid,language,rating,rating_count,url,covert_art_url
TRAAAAW128F429D538,I Didn't Mean To,0,Casual,Fear Itself,,,,,,
TRAAABD128F429CF47,Soul Deep,1969,The Box Tops,Dimensions,ac328aaa-ba36-4b10-a7c2-8a48ff709ca4,,80.0,1.0,,
TRAAADZ128F9348C2E,Amor De Cabaret,0,Sonora Santanera,Las Numero 1 De La Sonora Santanera,,,,,,
TRAAAEF128F4273421,Something Girls,1982,Adam Ant,Friend Or Foe,d8e8484c-45e2-4cc6-9427-2d5446023ea5,,,,,
TRAAAFD128F92F423A,Face the Ashes,2007,Gob,Muertos Vivos,d3a2ff9e-fcac-427a-a10c-52c90b5572ea,,60.0,1.0,,
TRAAAMO128F1481E7F,The Moon And I (Ordinary Day Album Version),0,Jeff And Sheri Easter,Ordinary Day,,,,,,
TRAAAMQ128F1460CD3,Keepin It Real (Skit),0,Rated R,Da Ghetto Psychic,,,,,,
TRAAAPK128E0786D96,Drop of Rain,0,Tweeterfriendly Music,Gin & Phonic,,,,,,
TRAAARJ128F9320760,Pink World,1984,Planet P Project,Pink World,f03fc6d8-7986-439e-9d34-47b0afe09ea6,,,,,http://coverartarchive.org/release/f03fc6d8-7986-439e-9d34-47b0afe09ea6/2182911352.jpg
TRAAAVG12903CFA543,Insatiable (Instrumental Version),0,Clp,Superinstrumental,,,,,,
TRAAAVO128F93133D4,Young Boy Blues,0,JennyAnyKind,I Need You,377046ea-cea6-495a-ab15-2cfaf389a6b8,,,,,
TRAABCL128F4286650,The Urgency (LP Version),0,Wayne Watson,The Way Home,,,,,,
TRAABDL12903CAABBA,La Culpa,0,Andy Andy,Placer & Castigo,,,,,,
TRAABJL12903CDCF1A,Auguri Cha Cha,0,Bob Azzam,Arrivederci,,,,,,
TRAABJV128F1460C49,Tonight Will Be Alright,1986,Lionel Richie,Dancing On The Ceiling,6accedfb-c54a-4a00-a7c4-43af81ae17de,,100.0,1.0,,
TRAABLR128F423B7E3,Floating,1987,Blue Rodeo,Outskirts,89e6300a-50bb-4ce5-beb4-1240387efddf,,80.0,1.0,,
TRAABNV128F425CEE1,High Tide,0,Richard Souther,Cross Currents,bb9c4138-2c52-4824-8714-70465fd41c15,,,,,
TRAABRB128F9306DD5,Sohna Nee Sohna Data,0,Faiz Ali Faiz,Panjtan Ka Ghulam,,,,,,
TRAABVM128F92CA9DC,Caught In A Dream,2004,Tesla,Gold,,,,,,
TRAABXG128F9318EBD,Synthetic Dream,0,lextrical,Whatever Happened To Boredom?,,,,,,
TRAABYN12903CFD305,Broken-Down Merry-Go-Round,0,Jimmy Wakely,1942-1952 Jimmy Wakely,,,,,,
TRAABYW128F4244559,Kassie Jones,0,Alice Stuart,All The Good Times,,,,,,
TRAACCG128F92E8A55,Setanta matins,0,Elena,Un cafe_ setanta matins,,,,,,
TRAACER128F4290F96,Setting Fire to Sleeping Giants,2004,The Dillinger Escape Plan,Miss Machine,8e9c710a-c5c9-4ddb-b3ed-11e6d064246e,,100.0,1.0,,http://coverartarchive.org/release/8e9c710a-c5c9-4ddb-b3ed-11e6d064246e/24531720896.jpg
TRAACFV128F935E50B,James (Hold The Ladder Steady),1985,SUE THOMPSON,Sue Thompson - Her Very Best,0da9a57d-8864-4bb8-be72-0eabd6e84cb0,,,,,
TRAACHN128F1489601,Made Like This (Live),0,Five Bolt Main,Live,,,,,,
TRAACIW12903CC0F6D,Superconfidential,0,Clp,Strictly Confidential,eaafc2bc-913b-4c39-9be8-1647cea7e136,,,,,
TRAACLV128F427E123,I Think My Wife Is Running Around On Me (Taco Hell),2005,Tim Wilson,The Real Twang Thang,,,,,,
TRAACNS128F14A2DF5,Spanish Grease,1997,Willie Bobo,Willie Bobo's Finest Hour,812cbb62-dc75-4efc-871f-2cae9c07b451,,60.0,1.0,,
TRAACOW128F933E35F,Crazy Mixed Up World,1961,Faye Adams,Shake A Hand,94afb153-e2ca-40ad-a9f8-f23ef21a648f,,,,,
TRAACPE128F421C1B9,Do You Finally Need A Friend,1972,Terry Callier,Occasional Rain,,,,,,
TRAACQT128F9331780,The Emperor Falls,0,John Wesley,The Emperor Falls,9eba4b95-8297-45e0-8849-863a1ea403c5,,,,,
TRAACSL128F93462F4,Twist and Shout,1964,The Shangri-Las,Best of The Shangri-Las,d4502ef4-0ac3-4d8f-b28a-56db18f90bf2,,,,,
TRAACTB12903CAAF15,It Makes No Difference Now,1992,Billie Jo Spears,20 Of Her Best,477efed4-710a-4f65-a46f-3ae2854e9ebf,,60.0,1.0,,
TRAACVS128E078BE39,Laws Patrolling (Album Version),0,Mike Jones (Featuring CJ_ Mello & Lil' Bran),Who Is Mike Jones?,,,,,,
TRAACZK128F4243829,¿Dónde va Chichi?,1997,Sierra Maestra,Tibiri Tabara,95e7f73a-ba44-4984-a12f-65a6f85bccb5,,,,,
